detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,356a34d4-0a8b-46d8-9152-5705b971d663,garbiwdqupcjlybbshbh,1747150444074000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,0e26bb9b-2a16-4d22-ae3a-ae70109a369d,garbiwdqupcjlybbshbh,1747150443474000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d05ac1f2-c117-46f7-a756-0519986822c3,garbiwdqupcjlybbshbh,1747150443474000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,3b7633fc-55a1-4556-86ff-0f61dfff95e5,garbiwdqupcjlybbshbh,1747150443473000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,7eda9602-2d8b-4ac5-b4c3-ace2216a20ad,garbiwdqupcjlybbshbh,1747150443473000
null,LOG,connection received: host=2600:1f18:2a66:6e00:8c26:6973:e208:43c port=50172,null,10f5af81-93dc-48fa-98c7-2306ca892479,garbiwdqupcjlybbshbh,1747150443400000
null,LOG,connection received: host=2600:1f18:2a66:6e00:4c75:73ef:18fc:f7ed port=41894,null,b5a9043c-950c-40cb-b525-59bb5a5e4267,garbiwdqupcjlybbshbh,1747150443399000
null,LOG,"connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,e2845066-f5b8-4105-890d-b56e7e4dfc30,garbiwdqupcjlybbshbh,1747150379523000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,13046c8f-b30c-4249-949c-11cf47a1e659,garbiwdqupcjlybbshbh,1747150379445000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,def4ae9b-e045-4f4a-826f-17f2390caf1e,garbiwdqupcjlybbshbh,1747150377228000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,4350c938-803e-410a-a0b0-fd49f59984ad,garbiwdqupcjlybbshbh,1747150377218000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,6532fff5-98f5-4ac6-a09d-a673a283bb66,garbiwdqupcjlybbshbh,1747150377218000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,3e2d41b7-169c-45ca-ba69-a8ea469cfb78,garbiwdqupcjlybbshbh,1747150324074000
null,LOG,connection received: host=::1 port=17005,null,d0f9124d-7601-4105-a42f-a039cea98d83,garbiwdqupcjlybbshbh,1747150324073000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,7804b98a-11bd-450a-928c-2bd9fc766793,garbiwdqupcjlybbshbh,1747150261530000
null,LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,8d41cfd4-60a4-418a-a4b1-673bfe062903,garbiwdqupcjlybbshbh,1747150261530000
null,LOG,connection received: host=2601:8c:4300:644b:93:dff9:e02c:1209 port=51750,null,abf5e179-bfb9-41a5-98b6-e65b03807a89,garbiwdqupcjlybbshbh,1747150261299000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,b30cf3d6-bf2d-4b60-8f4f-191b1a81bb67,garbiwdqupcjlybbshbh,1747150239736000
null,LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,61883875-5068-47c3-a6cd-1a80c898815e,garbiwdqupcjlybbshbh,1747150239736000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,504b7c64-b415-465f-b61a-3398477b2006,garbiwdqupcjlybbshbh,1747150237847000
null,LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,976c7aa6-6727-457e-a9ff-9b57d2da40dd,garbiwdqupcjlybbshbh,1747150237847000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,78869405-72bf-43aa-bee5-8bc3b7b2622f,garbiwdqupcjlybbshbh,1747150234883000
null,LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,b01b94ac-9fe7-4cc9-85a7-d70273ed5273,garbiwdqupcjlybbshbh,1747150234883000
null,LOG,connection received: host=2601:8c:4300:644b:93:dff9:e02c:1209 port=51746,null,26750009-011b-42f2-ae37-a2d464f442a3,garbiwdqupcjlybbshbh,1747150234668000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,ed54f72a-53a4-4d3d-8e5e-da6cca6235eb,garbiwdqupcjlybbshbh,1747150219199000
null,LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,7cc24146-c3d2-4e60-a31e-73d696283c5e,garbiwdqupcjlybbshbh,1747150219199000
null,LOG,connection received: host=2601:8c:4300:644b:93:dff9:e02c:1209 port=51744,null,8bf2a626-3de8-4d30-ac58-6589a289befe,garbiwdqupcjlybbshbh,1747150218964000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,622378d7-be39-4ba0-85cb-4c839621bf26,garbiwdqupcjlybbshbh,1747150204077000
null,LOG,connection received: host=::1 port=10233,null,c631c774-01fd-447f-9d32-7f475c23b475,garbiwdqupcjlybbshbh,1747150204076000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,d7817c45-17fa-4260-a819-55a55bcc82ef,garbiwdqupcjlybbshbh,1747150144079000
null,LOG,connection received: host=::1 port=24755,null,35716bd8-5f57-4a85-ae0b-fab2a7b691a7,garbiwdqupcjlybbshbh,1747150144079000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,f858bb05-2eda-49d9-81f1-a1fb6ea60092,garbiwdqupcjlybbshbh,1747150084078000
null,LOG,connection received: host=::1 port=22553,null,9a9f228d-1a8a-4d78-b7a1-f74f7f773900,garbiwdqupcjlybbshbh,1747150084077000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,9ec26bdd-e6f1-454e-b8e8-3e79ae7e0606,garbiwdqupcjlybbshbh,1747150054780000
null,LOG,"connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,c04d84c2-0421-463b-a690-72b6657ed3c4,garbiwdqupcjlybbshbh,1747150054780000
null,LOG,connection received: host=2601:8c:4300:644b:93:dff9:e02c:1209 port=51723,null,0c292dfb-0a6b-49f5-9711-4c957fb71309,garbiwdqupcjlybbshbh,1747150054558000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,beae8702-ed57-488a-bdbb-db7a4a58fe02,garbiwdqupcjlybbshbh,1747150024075000
null,LOG,connection received: host=::1 port=6945,null,f941d24e-661a-4377-84ee-8db849d51a94,garbiwdqupcjlybbshbh,1747150024074000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,0b99c4b4-564d-467e-9cc5-cf2c38d5b71d,garbiwdqupcjlybbshbh,1747149991940000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,818e4b01-2edc-4166-b5ff-d1100317a151,garbiwdqupcjlybbshbh,1747149991940000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_health_check SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,20de207d-5454-4f22-baca-0d73f9e27db3,garbiwdqupcjlybbshbh,1747149991719000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,f59cdd0d-b200-4fbf-a2d2-7ea1ef03e593,garbiwdqupcjlybbshbh,1747149991718000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,32fe5a12-5f94-4ee0-8d32-9c170137d2ce,garbiwdqupcjlybbshbh,1747149991447000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,5f7d994d-7163-4e1f-bf36-93ca27461c85,garbiwdqupcjlybbshbh,1747149991447000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,8593310a-19f0-41c6-b9cb-69303c46efcd,garbiwdqupcjlybbshbh,1747149991447000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,fe1d02d4-a46f-49c4-b1e8-3e118f6c8407,garbiwdqupcjlybbshbh,1747149991447000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,48f5c8ea-de3b-41fd-a6ab-c94e49bbb954,garbiwdqupcjlybbshbh,1747149991345000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,f83b8774-5533-43d0-b740-ce17ccef66b0,garbiwdqupcjlybbshbh,1747149991345000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,61430cdd-afc5-4760-8164-1aee8693f617,garbiwdqupcjlybbshbh,1747149991333000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,50edf0b8-7456-42b8-990c-88d133ece18f,garbiwdqupcjlybbshbh,1747149991333000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,b95ef22d-14d0-419f-8a7e-e889b9a9fde9,garbiwdqupcjlybbshbh,1747149991320000
